CENSUS v1 records=6844 census_bytes=3361382400 census_default_heap=3224543232 census_upload_readback=136839168 d3d12ma_allocated=3361382400 d3d12ma_blocks=3712090112 driver_usage=4096929792 driver_budget=16165400576 swapchain=14764032 pso_creates=6765 pso_compiles=64 pso_driver_eager=1 descheap_bytes=32032768 cmdalloc=36 pso_compile_ms=19.6 pso_compile_max_ms=1.3 d3d12ma_allocated_video=3224543232 d3d12ma_blocks_video=3513581568
# STAGES label driver_usage_bytes census_bytes pso_creates
# STAGE device_created       0 0 0
# kind bytes w h d mips arr samples fmt bind misc usage alias "name"
B 503316480 503316480 0 0 0 0 0 - 0x0 0x200 0 0 ""
T 204472320 12288 4096 1 1 1 1 D32_FLOAT 0x28 0x20000 0 0 "shadowMapAtlas"
B 134217728 134217728 0 0 0 0 0 - 0x4B 0x10110 0 0 "GPUSubAllocator"
B 134217728 134217728 0 0 0 0 0 - 0x4B 0x10110 0 0 "GPUSubAllocator"
B 134217728 134217728 0 0 0 0 0 - 0x4B 0x10110 0 0 "GPUSubAllocator"
B 134217728 134217728 0 0 0 0 0 - 0x4B 0x10110 0 0 "GPUSubAllocator"
T 89522176 4096 4096 1 13 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Max Collection\Vehicles\helicopter_color.jpg"
T 89522176 4096 4096 1 13 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Max Collection\Vehicles\helicopter_surface.jpg"
T 89522176 4096 4096 1 13 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Max Collection\Vehicles\helicopter_emissive.jpg"
T 89522176 4096 4096 1 13 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Max Collection\Vehicles\helicopter_normal.png"
B 49676288 49643520 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 49676288 49643520 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 49676288 49643520 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 49676288 49643520 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 49676288 49643520 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 49676288 49643520 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 49676288 49643520 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
T 33816576 2048 2048 1 12 6 1 BC6H_UF16 0x8 0x801 0 0 "C:\Users\leeba\Documents\GameGuruApps\GameGuruMAX\Files\skybank\stormy\stormy_cube.dds"
T 31719424 1024 1024 1 9 22 1 BC3_UNORM_SRGB 0x8 0x0 0 0 "tex"
T 22413312 4096 4096 1 13 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Jungle Collection\Bush\Jungle Bush_color.dds"
T 22413312 2048 2048 1 12 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Max Collection\Misc\themysteryofzisland\ambul_low_Material _23_Normal.png"
T 22413312 2048 2048 1 12 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Max Collection\Misc\themysteryofzisland\ambul_low_Material _23_BaseColor.png"
T 16777216 4096 4096 1 1 1 1 R8_UNORM 0x8 0x0 0 0 "texTreeMap"
T 16777216 4096 4096 1 1 1 1 R8_UNORM 0x8 0x0 0 0 "texGrassMap"
T 16777216 4096 4096 1 1 1 1 R8_UNORM 0x8 0x0 0 0 "texMaterialMap"
T 15859712 1024 1024 1 9 22 1 BC1_UNORM 0x8 0x0 0 0 "tex"
T 12648448 1920 1080 1 11 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "Files\editors\uiv3\loadingsplash.png"
T 10223616 1536 801 1 1 1 1 R16G16B16A16_FLOAT 0x48 0x0 0 0 "rtSSR"
T 9437184 512 512 1 1 9 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "texLODNormalMapArray"
T 9437184 512 512 1 1 9 1 R32_FLOAT 0x8 0x0 0 0 "texLODHeightMapArray"
B 9240576 9213696 0 0 0 0 0 - 0xF 0x4 1 0 "frame_allocator"
B 9043968 8990720 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 9043968 8990720 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 9043968 8990720 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 9043968 8990720 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 9043968 8990720 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 8912896 8909568 0 0 0 0 0 - 0xF 0x4 1 0 "frame_allocator"
B 8192000 8163072 0 0 0 0 0 - 0xF 0x4 1 0 "frame_allocator"
B 7929856 7918336 0 0 0 0 0 - 0xF 0x4 1 0 "frame_allocator"
T 7667712 1536 801 1 5 1 1 R32_FLOAT 0x48 0x0 0 0 "rtLinearDepth"
T 7667712 1536 801 1 5 1 1 R32_FLOAT 0x48 0x0 0 0 "depthBuffer_Copy"
T 7667712 1536 801 1 5 1 1 R32_FLOAT 0x48 0x0 0 0 "depthBuffer_Copy1"
B 7536640 7515136 0 0 0 0 0 - 0x0 0x0 1 0 "Scene::geometryUploadBuffer"
B 7536640 7515136 0 0 0 0 0 - 0x8 0x8 0 0 "Scene::geometryBuffer"
B 7536640 7515136 0 0 0 0 0 - 0x0 0x0 1 0 "Scene::geometryUploadBuffer"
T 7208960 1536 801 1 1 1 1 D32_FLOAT_S8X24_UINT 0x20 0x0 0 0 "depthBuffer_Main"
B 6684672 6660352 0 0 0 0 0 - 0x48 0x8 0 0 "meshletBuffer"
B 6291456 6291456 0 0 0 0 0 - 0x48 0x8 0 0 ""
B 6291456 6291456 0 0 0 0 0 - 0x48 0x8 0 0 ""
B 6291456 6291456 0 0 0 0 0 - 0x48 0x8 0 0 ""
T 5636096 2048 2048 1 10 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat30/Color.dds"
T 5636096 2048 2048 1 12 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat25/Color.dds"
T 5636096 1024 1024 1 11 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\databank\bloodsplash3.png"
T 5636096 1024 1024 1 11 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\databank\bloodsplash4.png"
T 5636096 1024 1024 1 11 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\databank\bloodsplash1.png"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat26/Normal.dds"
T 5636096 1024 1024 1 11 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\databank\bloodsplash5.png"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat22/Normal.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat25/Normal.dds"
T 5636096 1024 1024 1 11 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\databank\bloodsplash6.png"
T 5636096 2048 2048 1 12 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat16/Color.dds"
T 5636096 2048 2048 1 12 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat26/Color.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat20/Normal.dds"
T 5636096 1024 1024 1 11 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\databank\bloodsplash7.png"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat10/Normal.dds"
T 5636096 1024 1024 1 11 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\databank\bloodsplash8.png"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat24/Normal.dds"
T 5636096 2048 2048 1 10 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat22/Color.dds"
T 5636096 2048 2048 1 10 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat20/Color.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat16/Normal.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat30/Normal.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat8/Normal.dds"
T 5636096 2048 2048 1 12 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat8/Color.dds"
T 5636096 2048 2048 1 10 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat10/Color.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat29/Normal.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat27/Normal.dds"
T 5636096 2048 2048 1 10 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat27/Color.dds"
T 5636096 1024 512 1 11 1 1 R32G32_FLOAT 0x48 0x0 0 0 ""
T 5636096 2048 2048 1 10 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat29/Color.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat1/Normal.dds"
T 5636096 2048 2048 1 10 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat1/Color.dds"
T 5636096 2048 2048 1 12 1 1 BC3_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Jungle Collection\Grass\Jungle Grass_color.dds"
T 5636096 2048 2048 1 10 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat21/Color.dds"
T 5636096 2048 2048 1 12 1 1 BC5_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat21/Normal.dds"
T 5636096 2048 2048 1 12 1 1 BC7_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat24/Color.dds"
T 5636096 1024 1024 1 11 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\databank\bloodsplash2.png"
B 5570560 5529600 0 0 0 0 0 - 0x2 0x0 0 0 "Ocean::indexBuffer"
T 5505024 768 400 1 1 1 1 R32G32B32A32_UINT 0x48 0x0 0 0 "lowres"
T 5505024 1536 801 1 1 1 1 R8G8B8A8_UNORM 0x18 0x0 0 0 "rtFinal"
T 5505024 1536 801 1 1 1 1 R32_FLOAT 0x18 0x0 0 0 "rtCustomDepth"
T 5505024 1536 801 1 1 1 1 R11G11B10_FLOAT 0x58 0x0 0 0 "rtMain"
T 5505024 1536 801 1 1 1 1 R16G16_FLOAT 0x48 0x0 0 0 "res.texture_normals"
T 5505024 1536 801 1 1 1 1 R16G16_FLOAT 0x18 0x400 0 0 "rtParticleDistortion"
T 5505024 1536 801 1 1 1 1 R32_UINT 0x18 0x400 0 0 "rtPrimitiveID"
T 5505024 1536 801 1 1 1 1 R11G11B10_FLOAT 0x18 0x0 0 0 "rtSun[0]"
T 5505024 1536 801 1 1 1 1 R16G16_FLOAT 0x58 0x0 0 0 "rtVelocity"
T 4194304 512 512 1 1 1 1 R32G32B32A32_FLOAT 0x48 0x0 0 0 "displacementMap"
T 4194304 512 512 1 1 1 1 R32G32B32A32_FLOAT 0x0 0x0 2 0 "displacementMap_readback[i]"
T 4194304 512 512 1 1 1 1 R32G32B32A32_FLOAT 0x0 0x0 2 0 "displacementMap_readback[i]"
B 4063232 4033536 0 0 0 0 0 - 0x48 0x8 0 0 "res.binned_tiles"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Jungle Collection\Grass\Jungle Grass_normal.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat30/Surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat22/Surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat27/Surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Military Collection\Barrels\Black\Black Barrel-Cloth_color.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max\Files\entitybank\Jungle Collection\Bush\Jungle Bush_surface.dds"
T 2818048 2048 2048 1 12 1 1 BC1_UNORM 0x8 0x800 0 0 "D:\DEV\BUILD\GameGuru Wicked MAX Build Area\Max/Files/terraintextures/mat1/Surface.dds"
