CENSUS v1 records=6340 census_bytes=2428788736 census_default_heap=2343329792 census_upload_readback=85458944 d3d12ma_allocated=2428788736 d3d12ma_blocks=2610561024 driver_usage=2983800832 driver_budget=16165400576 swapchain=14764032 pso_creates=6765 pso_compiles=47 pso_driver_eager=1 descheap_bytes=32032768 cmdalloc=38 pso_compile_ms=13.3 pso_compile_max_ms=1.0 d3d12ma_allocated_video=2343329792 d3d12ma_blocks_video=2463760384
# STAGES label driver_usage_bytes census_bytes pso_creates
# STAGE device_created       0 0 0
# kind bytes w h d mips arr samples fmt bind misc usage alias "name"
B 503316480 503316480 0 0 0 0 0 - 0x0 0x200 0 0 ""
B 134217728 134217728 0 0 0 0 0 - 0x4B 0x10110 0 0 "GPUSubAllocator"
B 134217728 134217728 0 0 0 0 0 - 0x4B 0x10110 0 0 "GPUSubAllocator"
B 134217728 134217728 0 0 0 0 0 - 0x4B 0x10110 0 0 "GPUSubAllocator"
B 134217728 134217728 0 0 0 0 0 - 0x4B 0x10110 0 0 "GPUSubAllocator"
B 49676288 49643520 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 49676288 49643520 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 49676288 49643520 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 49676288 49643520 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 49676288 49643520 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
B 49676288 49643520 0 0 0 0 0 - 0x4A 0x10816 0 0 "HairParticleSystem::generalBuffer"
T 18743296 1024 1024 1 9 13 1 BC3_UNORM_SRGB 0x8 0x0 0 0 "tex"
T 16777216 4096 4096 1 1 1 1 R8_UNORM 0x8 0x0 0 0 "texTreeMap"
T 16777216 4096 4096 1 1 1 1 R8_UNORM 0x8 0x0 0 0 "texMaterialMap"
T 16777216 4096 4096 1 1 1 1 R8_UNORM 0x8 0x0 0 0 "texGrassMap"
T 12648448 1920 1080 1 11 1 1 R8G8B8A8_UNORM 0x48 0x800 0 0 "Files\editors\uiv3\loadingsplash.png"
T 9437184 512 512 1 1 9 1 R32_FLOAT 0x8 0x0 0 0 "texLODHeightMapArray"
T 9437184 512 512 1 1 9 1 R8G8B8A8_UNORM 0x8 0x0 0 0 "texLODNormalMapArray"
T 9371648 1024 1024 1 9 13 1 BC1_UNORM 0x8 0x0 0 0 "tex"
